"lat","xch4","lon"
-37.6899984741211,70.0355747340504,149.680003051758
-16.2699984741211,46.602047401469,145.470003051758
-39.8999984741211,42.4799907677447,144.090003051758
-42.7899984741211,36.5942689590051,146.150003051758
-20.3499984741211,35.8404849177783,118.170003051758
-28.3899984741211,35.5325326626232,153.090003051758
-20.8499984741211,35.2928702889198,116.220003051758
-14.8799984741211,34.6973296158185,128.880003051758
-42.9799984741211,34.5806135145414,147.010003051758
-32.7099984741211,32.9913402374512,151.020003051758
-38.5599984741211,31.7578138923672,145.350003051758
-32.0499984741211,31.6353614862007,151.550003051758
-11.7899984741211,31.0114573852321,133.690003051758
-37.2199984741211,30.4809979631762,147.780003051758
-21.5899984741211,28.7279669148329,115.260003051758
-42.1199984741211,28.0420787549188,147.230003051758
-21.8099984741211,27.7023302888693,114.710003051758
-40.9499984741211,26.3828504960138,144.630003051758
-19.9699984741211,25.2560929078188,119.080003051758
-12.2899984741211,24.9275497458205,131.430003051758
-17.7099984741211,24.3478243416763,140.200003051758
-13.9899984741211,24.2268310167038,126.700003051758
-17.3899984741211,24.1836140084444,139.300003051758
-29.4099984741211,23.9189558602431,152.420003051758
-34.5199984741211,23.8728296656666,150.730003051758
-18.2799984741211,23.6569425998409,145.780003051758
-19.9199984741211,23.3897698609555,120.140003051758
-18.7099984741211,23.2103045001079,121.620003051758
-26.1299984741211,22.8336683100542,153.120003051758
-12.1499984741211,22.5451152215059,132.450003051758
-28.8199984741211,22.3208719046716,137.220003051758
-19.6899984741211,21.3486464107387,120.820003051758
-24.1799984741211,21.1709558905482,113.720003051758
-30.8299984741211,21.0106531617853,152.240003051758
-35.5299984741211,20.9224348485804,148.930003051758
-17.3899984741211,19.7689415569589,123.570003051758
-16.7799984741211,19.5698424932987,138.640003051758
-33.1999984741211,19.5245129095283,137.850003051758
-14.5999984741211,17.7724879514696,125.250003051758
-11.2099984741211,17.144265577363,132.010003051758
-15.6499984741211,16.2980712129259,141.480003051758
-33.7899984741211,16.1844665811061,150.590003051758
-31.4899984741211,16.0243986022363,135.890003051758
-12.1699984741211,15.9263289637194,134.980003051758
-18.0799984741211,15.7680024061115,122.390003051758
-11.1399984741211,14.2780857491403,142.180003051758
-27.8099984741211,13.9451565892878,151.210003051758
-25.0099984741211,12.7238503768756,113.650003051758
-35.3899984741211,11.8897852575044,142.910003051758
